Condition	KO	KO	KO	WT	WT	WT
Gm51617	0	0	0	0	0	0
Gm25168	0	0	0	0	0	0
Terf1	1213	1079	944	1661	1525	1098
Sbspon	2	4	3	0	0	0
Gm31523	0	0	0	0	0	0
4930444P10Rik	0	0	0	0	0	0
Rpl7	80710	76088	61200	105667	101613	50604
Rdh10	619	540	457	650	398	306
Stau2	190	163	196	166	118	49
Gm7568	0	0	0	0	0	0
C130013N14Rik	0	1	1	0	0	0
Ube2w	1838	1545	1430	1955	2160	1325
Eloc	6677	4101	4546	7605	9995	5263
D030040B21Rik	2	0	0	0	2	0
Tmem70	3586	2280	2475	3826	3032	1812
Ly96	320	225	367	154	228	112
Gm53492	0	0	0	0	0	0
Jph1	6	2	0	2	1	2
Gm46085	0	0	0	0	0	0
Gm31982	0	0	0	0	0	0
Gdap1	1	3	0	0	2	2
Gm28784	0	0	0	0	0	0
Gm39597	0	0	0	0	0	0
Pi15	0	0	0	0	0	0
Gm28154	0	0	1	0	0	0
Gm16070	1	0	0	0	0	0
Crispld1	26	26	27	3	7	8
Crisp4	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0
Defb18	0	0	0	0	0	0
Defb41	0	0	0	0	0	0
Gm28343	0	0	0	1	1	2
Gm15825	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0
Tfap2b	0	0	0	0	0	0
Gm32651	0	0	0	0	0	0
Pkhd1	0	1	0	0	0	0
4930486I03Rik	0	0	0	0	0	0
Gm24162	0	0	0	0	0	0
Lincmd1	0	0	0	0	0	0
Mir206	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0
Il17a	0	0	0	25	13	12
Il17f	2	4	2	10	1	8
Mcm3	12887	10934	10615	19607	12433	10869
Gm24723	0	0	0	0	0	0
6720483E21Rik	0	0	1	0	0	0
Paqr8	181	259	195	312	333	246
Gm24171	0	0	0	0	0	0
Gm51618	24	11	10	45	107	40
Efhc1	7	9	11	13	5	6
Tram2	91	44	133	53	7	34
Tmem14a	102	120	91	83	102	47
Gm32947	0	0	0	0	0	0
Gm28836	17	31	17	15	22	9
Gsta3	7	10	4	2	8	1
Gm7094	2	0	0	0	1	1
Gm4956	441	604	455	107	281	50
Khdc1a	179	309	202	2	23	10
Khdc1c	69	74	77	1	6	1
Gm33147	1	1	3	0	0	0
Khdc1b	73	107	76	1	5	0
Kcnq5	131	165	151	118	38	48
Gm53539	0	1	0	0	0	0
Rims1	0	0	0	0	0	0
Gm7759	0	0	0	0	0	0
Ppp1r14bl	0	0	0	0	0	0
Gm30442	0	0	0	0	0	0
Gm29506	0	0	0	0	0	0
Gm53541	19	26	18	10	18	12
Mir30a	0	0	0	0	0	0
Mir30c-2	0	0	0	0	0	0
Ogfrl1	5366	5403	5182	6273	5570	3452
Gm19673	0	0	7	2	1	3
Gm28822	0	0	0	0	0	0
B3gat2	2	1	9	6	6	4
Smap1	3118	3981	2982	4200	3393	2174
Gm53062	0	1	0	0	0	2
Sdhaf4	853	610	628	726	1200	537
Fam135a	71	39	69	44	13	16
Col9a1	0	0	0	0	0	0
Col19a1	36	28	70	1	1	4
Gm26418	0	0	0	0	0	0
Lmbrd1	3543	2095	2937	2763	1969	1526
Gm29414	0	0	0	0	0	0
Adgrb3	0	0	0	0	0	0
Gm20172	0	0	0	0	0	0
Gm22260	0	0	0	0	0	0
Gm25294	0	0	0	0	0	0
Gm9884	0	0	0	0	0	0
Gm39614	0	0	0	0	0	0
Gm31076	0	0	0	0	0	0
Gm31136	0	2	0	0	0	0
Spata31e2	0	4	1	2	0	0
Gm5524	0	0	0	0	0	0
Spata31e5	0	0	0	0	0	0
Gm45942	0	0	0	0	0	0
Gm6462	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0
Gm31465	0	0	0	0	0	0
Gm31525	0	0	0	0	0	0
Gm39615	0	0	0	0	0	0
Gm31581	0	0	0	0	0	0
Gm46086	0	0	0	1	0	0
Gm9898	4	4	0	1	2	0
Gm57566	0	0	0	0	0	0
Phf3	5158	4247	4519	4367	1627	2280
Ptp4a1	2657	1888	2067	3266	1348	1473
Gm53209	5	0	0	2	0	0
Gm29669	0	0	0	0	0	0
Gm28644	0	0	0	0	0	0
4931428L18Rik	3	3	0	7	1	3
Lgsn	0	0	0	0	0	0
Dnaaf6rt	0	0	0	0	0	0
Gm26145	0	0	0	0	0	0
Gm4850	0	0	0	0	0	0
Gm57572	0	0	0	2	0	1
Gm23032	0	0	0	0	0	0
Gm51754	0	0	0	0	0	0
Khdrbs2	0	1	0	0	0	0
Gm25814	0	0	0	0	0	0
Gm9839	0	0	0	0	0	0
Semp2l1	0	0	0	0	0	0
Gm24732	0	0	0	0	0	0
Gm39616	0	0	0	0	0	0
Gm24901	0	0	0	0	0	0
Gm39617	0	0	0	0	0	0
Gm25792	0	0	0	0	0	0
Gm23453	0	0	0	0	0	0
Prim2	3513	1690	2124	5201	3832	2843
1700001G17Rik	31	34	22	32	21	16
Gm32229	0	0	2	3	2	1
Rab23	206	201	195	468	283	203
Bag2	1786	981	956	2524	1284	892
Zfp451	1488	1012	1076	1297	514	632
Gm15455	20	24	10	23	23	10
Bend6	80	45	91	20	23	1
Gm38471	0	4	1	1	0	0
Dst	592	276	670	75	32	63
Gm53546	0	0	1	0	0	0
Mir6896	0	0	0	0	0	0
Gm51742	0	0	0	0	0	0
Gm26788	0	1	0	2	1	0
Gm3052	16	32	36	10	4	28
Gm37233	96	50	83	55	22	30
Mir5103	0	0	0	0	0	0
n-TEttc1	0	0	0	0	0	0
Ccdc115	3756	2630	2521	5671	5420	2890
Imp4	4573	3978	3536	5976	4211	2648
Gm32504	0	1	1	2	2	1
Ptpn18	4929	4936	4265	5117	9298	4161
Gm28417	104	109	103	107	92	51
4930568A12Rik	18	17	10	14	23	14
Gm32566	26	22	28	19	14	9
Prss39	0	1	1	2	0	2
Cfc1	1	1	1	0	0	0
Prss40	0	0	0	0	0	0
Amer3	7	0	9	0	0	0
AA619741	0	0	0	0	0	0
Gm38647	0	0	0	0	0	0
Arhgef4	14	10	19	1	0	1
Gm32920	0	0	0	0	0	0
Gm32790	18	9	4	7	0	2
Smim39	0	0	0	0	0	0
Fam168b	10247	9370	9051	9805	5533	4823
Plekhb2	3882	3333	3821	2875	1714	1499
Gm53547	0	0	0	0	0	0
Gm25096	0	0	0	0	0	0
Gm25634	0	0	0	0	0	0
1110002O04Rik	1	0	0	0	0	0
Gm33176	1	0	0	0	1	2
Gm39622	0	0	0	0	0	0
Gm33222	0	0	0	0	0	0
Gm39623	0	0	0	0	0	0
Gm39624	0	2	0	0	1	0
Hs6st1	2763	2275	3089	2656	1060	1209
Gm53548	0	0	0	0	0	0
Gm33280	272	80	182	435	144	147
Uggt1	8013	6965	7766	8248	3193	4130
Mir6897	1	0	0	0	0	0
Gm39625	0	0	0	0	0	0
Neurl3	6038	6730	6828	3243	6083	2295
Arid5a	2241	2821	2870	3719	1802	1635
Kansl3	2125	2232	2101	2223	972	1099
Mir6898	0	0	0	0	0	0
Fer1l5	3	2	1	1	0	0
Lman2l	1997	1723	1905	1441	1127	1038
Gm33401	0	2	1	2	5	2
Gm33454	30	45	44	42	83	37
Cnnm4	1047	1009	1074	902	323	556
Cnnm3	1304	1566	1224	1036	472	545
Ankrd23	97	187	112	109	61	80
Ankrd39	334	302	277	466	426	231
Sema4c	230	337	304	56	44	38
Fam178b	8	14	10	16	5	3
Cox5b	12058	9080	9354	16631	21203	11104
Actr1b	2649	3234	2593	3487	1962	1589
4933424G06Rik	2	0	0	1	2	0
Gm33533	4	0	6	0	0	1
Zap70	1200	2890	1250	1823	1825	1051
Tmem131	6691	5044	7359	4033	1088	2421
Vwa3b	12	7	8	18	16	10
Gm37020	0	0	0	0	0	0
Cnga3	20	18	21	4	7	0
Inpp4a	1806	1674	1937	1355	587	1118
4930439A04Rik	1	0	1	0	0	2
Coa5	7538	5982	7002	9503	4708	4169
Unc50	3753	1863	2414	4346	4124	2640
Mgat4a	1054	1137	1144	918	313	393
4930594C11Rik	3	5	3	3	2	5
Gm39627	0	3	1	0	0	0
Cracdl	48	106	54	17	38	11
4930556I23Rik	1	0	0	0	0	0
4930470B04Rik	0	0	0	0	0	0
Gm39628	0	0	0	0	0	0
Tsga10	364	187	275	218	128	133
Lipt1	157	163	130	274	144	103
Mitd1	1614	985	1090	2228	1816	1577
Mrpl30	4468	3521	3274	5130	4838	2854
Lyg2	0	0	0	0	0	0
Lyg1	0	0	0	0	0	0
Txndc9	5410	3373	3912	6324	6835	4590
Eif5b	8314	14972	8895	9301	7479	5661
Gm34448	1	2	0	2	1	4
Rev1	1560	924	1088	2247	1112	1055
Gm5099	0	0	0	0	0	0
Aff3	902	1505	951	382	162	162
Gm16150	18	1	5	9	15	25
Gm16152	0	0	0	0	0	0
Gm34596	0	0	0	0	0	0
Gm57569	0	0	0	0	0	0
Lonrf2	6	0	2	1	0	0
Chst10	175	176	144	242	204	99
Nms	0	0	0	0	0	0
Gm35171	0	0	0	0	0	0
Pdcl3	2837	2155	2105	3458	4168	2291
Gm35222	0	0	0	0	0	0
Mir6349	0	0	0	0	0	0
Npas2	13	29	13	2	1	0
Gm53549	0	1	0	0	0	1
Rpl31	63297	51021	43662	64116	94679	46212
Tbc1d8	3437	2405	3354	2464	1313	2173
Gm24826	0	0	0	0	0	0
Gm53550	10	6	2	3	3	3
Cnot11	2026	1774	1683	2802	1977	1320
Snord89	19	26	27	23	14	9
Rnf149	6113	4450	6358	4867	3999	2947
Gm23722	0	0	0	0	0	0
Gm51620	0	0	0	0	0	0
Creg2	16	17	22	3	1	3
D930019O06Rik	1	0	2	0	0	0
Rfx8	4	0	0	0	2	1
Gm3646	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0
Gm35600	0	0	0	0	1	0
Map4k4	6163	5242	5719	5408	2810	3182
Gm16894	13	3	5	20	17	9
Il1r2	1179	807	1323	6222	1575	1940
Gm35741	0	0	0	0	0	0
Il1r1	410	676	471	594	210	243
Il1rl2	348	235	269	766	283	234
Il1rl1	2151	1410	1477	3256	1904	1703
Il18r1	3611	4927	3487	2782	1318	1745
Il18rap	8519	9427	8299	7155	3659	3358
Gm35801	0	0	0	0	0	0
Slc9a4	4	2	2	6	1	2
Gm37435	0	0	0	0	0	0
Slc9a2	41	79	39	15	11	6
Gm37915	66	14	36	112	132	59
Mfsd9	176	140	198	164	138	78
Tmem182	0	0	0	2	1	0
4930448I06Rik	0	0	0	0	0	0
Gm53551	0	0	0	0	0	0
Gm39631	0	0	0	0	0	0
Gm35935	0	0	0	0	0	0
Gm29260	0	0	0	0	0	0
Gm28175	0	0	0	0	0	0
Gm46088	0	0	0	0	0	0
Gm36678	0	0	0	0	0	0
Gm37047	0	0	0	0	0	0
Gm46089	0	0	0	0	0	0
Gm36822	0	0	0	0	0	0
Pantr1	0	0	0	0	0	0
Gm20646	0	0	0	0	0	0
Pou3f3	0	0	0	0	0	0
2900092D14Rik	0	0	0	0	0	0
Pantr2	0	0	0	0	0	0
Dalir	0	0	0	0	0	0
Gm53552	0	1	0	0	0	0
Mrps9	3435	2448	2277	4856	5269	2636
Gm23126	0	0	0	0	0	0
Gm39633	0	0	0	0	0	0
Gpr45	0	4	3	2	4	1
Tgfbrap1	1768	1589	1873	1411	492	670
Gm28782	2	0	1	0	0	0
8430432A02Rik	9	6	5	4	2	1
AI597479	1418	877	1013	1409	774	731
Fhl2	133	209	109	55	67	33
Gm29040	0	0	0	0	0	0
Gm57530	0	0	0	0	0	0
Nck2	905	1151	907	993	802	502
Gm38628	0	0	0	0	0	0
Gm30634	0	0	0	0	0	0
Ecrg4	0	0	0	0	0	0
Uxs1	2502	1876	2116	3819	2543	1848
Tpp2	4505	3927	4117	4542	1694	1970
Mettl21c	0	1	0	1	0	0
Ccdc168	11	17	9	6	6	4
Tex30	3239	1999	1858	3952	3274	2418
Poglut2	1096	1003	857	1841	924	743
Bivm	784	581	571	932	408	369
Ercc5	680	765	641	683	380	297
Mettl21e	0	0	0	0	0	0
Gm28893	0	0	0	0	0	0
Gm39635	0	0	0	0	0	0
Gulp1	35	26	20	11	2	3
4930521E06Rik	0	0	0	0	0	0
Col3a1	15	3	12	11	0	14
Col5a2	1	7	0	0	0	2
Gm39637	0	0	0	2	0	0
Gm23216	0	0	0	0	0	0
Gm51621	0	0	0	0	0	0
Gm23974	0	0	0	0	0	0
Wdr75	3692	2667	2534	5111	2529	1846
Gm30900	1	0	0	1	2	0
Slc40a1	24029	17287	34863	8642	5167	4376
Stk-ps2	0	0	0	0	0	0
Dnah7b	0	5	0	0	0	0
Gm31046	0	0	0	0	0	0
n-R5s211	0	0	0	0	0	0
Dnah7c	0	1	1	0	0	0
Slc39a10	1438	1248	1300	1017	328	385
Gm39638	0	0	0	0	0	0
Gm39639	0	0	0	0	0	0
Mir6350	0	0	0	0	0	0
C230029F24Rik	0	0	0	0	0	0
Gm39640	0	0	0	0	0	0
Gm28321	0	0	0	0	0	0
Tmeff2	1	0	0	0	0	0
9330175M20Rik	0	0	0	0	0	0
Cavin2	390	238	241	141	84	57
Nabp1	6077	3215	5076	3797	3525	2413
Gm17767	10	2	15	18	7	10
Gm31636	0	0	0	0	0	0
Myo1b	88	52	92	114	40	44
Gm33795	0	0	0	0	0	0
Stat4	2315	3365	2198	1243	1046	693
Gm31812	12	10	9	13	28	2
Stat1	14359	12210	15956	24012	8054	12755
Gls	7696	5373	5923	8639	4904	4113
Gm31867	0	0	0	0	0	0
Gm31955	0	0	0	0	0	0
Gm23460	0	0	0	0	0	0
Nab1	5527	4097	4393	4799	2462	2379
Gm53065	5	3	4	1	0	3
Gm28178	0	0	0	0	1	0
Nemp2	974	839	877	1101	868	632
Mfsd6	1833	1610	1967	1344	550	814
Inpp1	1548	1309	1201	1623	1284	1066
Hibch	2590	1709	1661	3318	2665	1705
1700019D03Rik	13	16	20	34	32	5
Mstn	0	0	0	0	0	0
1700019A02Rik	0	0	1	0	1	0
Pms1	845	452	547	1090	575	472
Gm28777	1	0	0	2	6	1
Ormdl1	3664	2016	2405	3659	3942	2478
Osgepl1	587	336	456	953	656	552
Asnsd1	6033	3886	4440	8860	7010	4692
Asdurf	0	0	0	0	0	0
Gm53553	0	0	0	0	0	0
Dnah7a	0	0	0	4	6	1
Gm32311	0	1	0	0	0	0
Stk17b	12659	8539	13203	11554	10706	6699
Hecw2	34	6	43	4	5	1
Mir7681	1	3	0	1	5	1
Gm51622	0	0	0	0	0	0
Gm25829	0	0	0	0	0	0
Ccdc150	3	12	4	19	5	1
Gtf3c3	1666	928	1201	1838	1015	781
Gm34066	0	0	0	0	3	0
Pgap1	945	469	1033	256	109	215
Gm51623	0	0	0	0	0	0
Ankrd44	6607	5058	6576	5034	2875	2900
4930444A19Rik	2	0	0	0	0	0
Sf3b1	21518	15984	17742	28185	16029	14385
Coq10b	1213	744	1064	1496	1731	1085
Hspd1	22541	23865	18131	32409	17194	13037
Hspe1	16775	11081	9985	16703	24736	11469
Mob4	3729	2233	2647	3891	3937	2506
Rftn2	102	63	58	63	49	30
Gm10561	0	0	0	0	0	0
Mars2	822	622	595	1173	593	541
Boll	11	21	6	5	4	4
Btf3-ps17	0	0	0	0	0	0
Plcl1	242	153	320	54	33	20
Gm6644	17	8	12	13	10	13
Gm39642	0	0	0	0	0	0
Gm32949	0	0	0	0	0	0
9130227L01Rik	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0
Gm53554	0	0	0	0	0	0
Hsfy2	0	0	0	0	0	0
Satb2	34	39	51	27	15	16
Gm51624	0	0	0	0	0	0
9130024F11Rik	0	1	4	0	0	1
Gm38484	0	0	0	0	0	0
1700126A01Rik	0	0	0	0	0	0
BC055402	0	0	0	0	0	0
4930558J18Rik	116	44	63	135	111	80
1700066M21Rik	943	441	629	1257	596	620
Tyw5	451	274	332	599	609	348
Maip1	1108	880	784	1476	1471	755
Gm22371	0	0	0	0	0	0
Gm53555	0	0	0	0	0	0
Gm57573	0	0	0	0	0	0
Spats2l	1	2	2	2	4	1
Gm57576	0	0	0	0	0	0
Kctd18	520	472	493	519	377	321
Sgo2a	1060	758	786	1982	777	1053
Aox1	11	2	6	2	0	0
Aox3	36	18	21	11	2	4
Gm39643	0	0	0	0	0	0
Aox4	15	13	40	36	23	13
Aox2	2	3	5	6	2	0
Gm15759	0	0	0	0	0	0
Gm53481	16	6	27	15	5	8
Bzw1	31938	17228	21318	36830	25482	19124
Clk1	6057	3618	4786	6356	6321	4324
Ppil3	2716	1818	1769	2878	2833	1685
Nif3l1	1525	1301	1118	2111	1356	949
Orc2	5845	2821	3355	8341	4008	3722
Gm23966	5	14	10	10	12	10
Gm15834	14	33	17	18	11	6
Hycc2	1347	733	931	1416	814	607
Ndufb3	6180	3952	4270	6938	12069	5249
Gm20257	131	121	114	144	195	119
Flacc1	33	10	32	2	12	4
Cflar	2974	2631	2786	2574	1617	1777
Gm39646	0	0	0	0	0	0
Casp8	5675	4517	4620	5544	3752	3002
Gm28802	18	3	10	9	10	3
Trak2	5042	3105	4427	6383	1930	3256
Stradb	1312	994	1134	1764	902	824
C2cd6	0	0	0	0	0	0
Gm29018	0	0	0	0	0	0
Gm25502	0	0	0	0	0	0
Tmem237	276	337	279	349	284	182
Mpp4	21	40	21	6	3	7
Als2	888	992	918	725	242	372
Gm33667	6	4	2	3	5	1
Cdk15	0	0	0	0	3	0
Gm51625	0	0	0	3	0	2
Gm33724	0	0	1	0	0	0
Gm33774	2	0	1	0	0	0
Gm53556	27	15	5	26	18	8
Fzd7	1004	971	1053	945	322	334
Gm973	31	72	37	26	5	12
Gm28411	0	0	0	0	0	0
Gm39648	0	0	0	3	0	0
Gm33833	0	0	0	0	0	0
Sumo1	10674	6407	7620	10713	10959	6623
Nop58	9911	9410	7069	14516	10182	6576
Snord70	3	3	1	3	0	2
Gm26293	0	0	0	0	0	0
Gm26287	3	0	0	0	2	6
Snord11	0	0	0	1	1	0
B430105G09Rik	3	6	4	7	12	1
Bmpr2	1869	1148	1806	666	357	406
Fam117b	3388	2939	3355	3564	2321	1921
Ica1l	118	109	81	158	182	89
Wdr12	4404	3710	2948	6674	4604	3009
Carf	353	181	269	475	302	187
Nbeal1	728	431	696	480	189	252
Cyp20a1	1616	1070	1212	1617	1082	774
Abi2	639	687	629	828	368	306
Raph1	630	519	629	343	129	281
Gm11578	0	0	0	0	0	0
Gm38388	0	0	0	2	0	0
Gm51626	0	0	0	0	0	0
Cd28	191	398	284	1373	928	630
2310016D23Rik	0	1	0	2	3	3
Gm38137	0	0	3	0	0	0
Gm39650	0	0	0	0	0	0
Ctla4	11	23	12	258	282	177
Gm34649	0	0	0	0	0	0
Icos	252	532	238	1512	903	637
Gm11587	0	0	0	0	0	0
9530026F06Rik	1	0	1	2	1	2
Pard3b	93	141	103	22	11	14
Pard3bos1	0	0	0	0	0	0
Pard3bos2	0	0	0	0	0	0
Gm34881	0	0	0	0	0	0
Nrp2	206	144	180	185	41	79
Gm29083	0	0	0	0	0	1
4930487H11Rik	0	0	0	0	0	0
Gm4208	0	0	1	1	1	2
Gm35120	0	0	0	0	0	0
Gm39652	0	0	0	0	0	0
Gm35252	0	0	0	0	1	0
Gm38513	0	0	0	0	0	0
Ino80d	1672	1594	1647	1263	645	983
Ino80dos	77	56	51	112	144	84
Ndufs1	7960	4968	5447	11624	7300	5520
Eef1b2	67333	57483	51339	78811	108278	57822
Gm26457	3	8	2	10	3	13
Snora41	9	4	4	16	14	14
Cmklr2	0	0	0	0	0	0
Zdbf2	0	0	0	0	0	0
1700039I01Rik	0	0	0	0	0	0
Gm11608	0	0	0	0	0	0
Gm23448	0	0	0	0	0	0
Gm35393	0	0	0	0	0	0
Adam23	372	448	682	4	25	10
Gm22281	0	0	0	0	0	0
Fam237a	0	0	0	0	0	0
Dytn	0	0	0	0	0	0
Mdh1b	0	0	0	3	0	0
Fastkd2	2092	1161	1260	2714	1526	1113
4933402D24Rik	0	0	0	0	0	0
Gm13749	0	0	0	0	0	0
Klf7	1088	1037	1203	1133	1192	903
Mir6899	0	0	0	0	0	0
Gm13748	18	18	25	65	19	21
Gm35880	0	0	0	0	0	0
Gm39654	2	7	3	3	6	2
Gm35803	0	0	0	0	0	0
Gm53557	1	0	0	0	0	0
Gm36148	0	0	0	0	0	0
Creb1	5128	4020	4192	4860	2662	2557
Mettl21a	726	518	672	691	601	359
Gm29152	0	0	0	0	0	0
2810408I11Rik	251	231	178	565	537	326
Ccnyl1	279	260	248	447	173	236
Fzd5	429	622	484	213	101	106
Plekhm3	1572	1385	1969	506	206	300
Gm51628	0	0	0	0	0	0
Gm51627	3	2	2	1	0	0
Gm24788	0	0	0	0	0	0
Akr1cl	0	0	0	0	0	0
Cryge	0	0	0	0	0	0
Crygd	0	0	0	0	0	0
Crygc	0	0	0	0	0	0
Crygb	0	0	0	0	0	0
Cryga	0	0	0	1	4	1
D630023F18Rik	35	26	42	37	51	14
Gm36358	4	6	4	12	12	5
Idh1	10054	4953	7707	8484	7893	5626
Pikfyve	1898	1215	1808	1796	1112	1006
Pth2r	0	0	0	1	0	4
Gm57567	0	0	0	0	0	0
Crygf	0	0	0	0	0	0
Map2	3	9	1	13	13	21
Gm51629	0	0	0	0	0	0
Gm24729	0	0	0	0	0	0
Unc80	0	1	1	1	0	0
Gm39655	0	0	0	0	0	0
Rpe	5488	2835	3795	6913	4858	3683
Kansl1l	785	671	624	604	287	268
Gm46093	4	7	17	20	22	13
Acadl	8988	6681	6638	14963	10348	6800
Gm15793	55	62	43	85	147	80
Gm27934	0	0	0	0	0	0
Gm25832	0	0	0	0	0	0
Myl1	0	2	0	0	0	0
Lancl1	1697	1615	1267	2275	1964	1048
Gm57531	24	50	36	19	6	16
Cps1	0	0	0	0	0	0
Gm26342	0	0	0	0	0	0
Gm39658	0	0	0	0	0	0
Gm15669	0	0	0	0	0	0
Erbb4	0	0	0	0	0	0
Gm53558	0	0	0	0	0	0
Gm51744	0	0	0	0	0	0
Gm28497	0	0	0	0	0	0
Ikzf2	527	910	489	500	1025	466
Gm53559	2	0	0	0	1	1
Gm29822	0	0	0	0	0	0
Spag16	0	1	0	0	0	0
Gm23879	0	0	0	0	0	0
Gm23422	0	0	0	0	0	0
Gm57571	0	0	0	0	0	0
Vwc2l	0	0	0	0	0	0
Gm29906	0	0	0	0	0	0
Gm57799	0	0	0	0	0	0
Bard1	1023	765	855	1692	1026	947
Gm53560	0	0	0	0	0	0
Abca12	0	0	0	0	0	0
Gm39659	0	0	0	0	0	0
Atic	8580	8487	7060	13779	8457	5527
Fn1	43409	21458	36885	7871	4580	8149
Apol7d	2	3	3	4	2	7
Gm39660	3	1	0	1	0	1
Gm30160	35	14	23	39	31	14
Gm30308	0	0	0	0	0	0
Gm8883	0	0	1	0	0	0
Gm28818	1	0	0	4	0	1
4933417E11Rik	8	7	9	4	6	1
Gm5528	4	2	5	4	11	3
Gm4319	3	1	4	0	3	1
Mreg	252	216	285	177	343	156
Gm51630	0	0	0	0	0	0
Gm25360	4	9	5	0	16	3
Gm23472	0	0	0	0	0	0
D230017M19Rik	13	5	5	1	4	0
Gm24497	0	0	2	0	1	0
Gm25939	2	1	2	3	4	3
Pecr	484	451	387	597	561	198
Tmem169	1	0	0	0	0	0
Gm51631	0	0	0	0	0	0
Xrcc5	1630	1639	1244	2347	1323	907
Gm39661	0	0	0	0	0	0
Marchf4	0	0	0	0	0	0
Smarcal1	1755	1807	1629	2046	1297	1058
Gm39662	0	0	0	0	2	0
Ankar	2	0	0	2	0	0
Rpl37a	40619	43868	33682	41871	83633	27420
Gm51632	1	5	1	0	5	4
Gm39663	0	0	3	0	1	3
Gm30788	0	0	0	0	0	0
Gm30847	0	0	0	0	0	0
Igfbp2	2	0	0	0	0	1
Igfbp5	8	1	2	2	0	7
Gm31047	0	0	0	0	0	0
Gm31137	0	0	0	0	0	0
Tnp1	0	0	0	0	0	0
Teshl	0	0	0	0	0	0
Gm53561	0	0	0	0	0	0
Gm31254	0	0	0	0	0	0
Gm29185	0	0	0	0	0	0
Gm31344	0	0	0	0	0	0
Pinc	0	0	0	0	0	0
D530049I02Rik	0	0	0	0	0	0
C530043A13Rik	0	0	0	0	0	0
6030407O03Rik	0	0	0	0	0	0
Gm29183	0	0	0	0	0	0
Mir6351	0	0	0	0	0	0
Tns1	1571	1643	1912	1558	393	657
Gm39664	0	0	0	0	0	0
Gm31637	0	0	0	0	0	0
Rufy4	70	111	229	352	87	142
Cxcr2	3452	4584	7133	12320	2579	4749
Cxcr1	69	118	164	310	24	87
