Condition	KO	KO	KO	WT	WT	WT
Gm25168	0	0	0	0	0	0
Terf1	929	732	774	1338	1077	881
Sbspon	2	3	2	0	0	0
Gm31523	0	0	0	0	0	0
4930444P10Rik	0	0	0	0	0	0
Rpl7	32767	27143	27281	39235	33900	24577
Rdh10	495	360	382	518	287	267
Stau2	152	117	167	131	88	43
Gm7568	0	0	0	0	0	0
C130013N14Rik	0	1	1	0	0	0
Ube2w	1377	1023	1111	1585	1504	1091
Eloc	4655	2594	3367	5482	6161	3990
D030040B21Rik	1	0	0	0	1	0
Tmem70	2726	1498	1928	2958	2118	1490
Ly96	258	150	283	117	158	90
Gm53492	0	0	0	0	0	0
Jph1	6	2	0	2	1	2
Gm46085	0	0	0	0	0	0
Gm31982	0	0	0	0	0	0
Gdap1	1	1	0	0	2	1
Gm28784	0	0	0	0	0	0
Gm39597	0	0	0	0	0	0
Pi15	0	0	0	0	0	0
Gm28154	0	0	1	0	0	0
Gm16070	1	0	0	0	0	0
Crispld1	21	15	21	3	7	6
Crisp4	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0
Defb18	0	0	0	0	0	0
Defb41	0	0	0	0	0	0
Gm28343	0	0	0	1	1	2
Gm15825	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0
Tfap2b	0	0	0	0	0	0
Gm32651	0	0	0	0	0	0
Pkhd1	0	1	0	0	0	0
4930486I03Rik	0	0	0	0	0	0
Gm24162	0	0	0	0	0	0
Lincmd1	0	0	0	0	0	0
Mir206	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0
Il17a	0	0	0	24	9	10
Il17f	2	3	2	8	1	6
Mcm3	9595	7093	8082	14806	8458	8480
Gm24723	0	0	0	0	0	0
6720483E21Rik	0	0	1	0	0	0
Paqr8	137	176	152	262	245	210
Gm24171	0	0	0	0	0	0
Gm51618	19	11	9	33	77	36
Efhc1	5	8	9	12	3	4
Tram2	75	31	100	43	6	33
Tmem14a	86	76	74	68	77	40
Gm32947	0	0	0	0	0	0
Gm28836	14	24	16	12	14	9
Gsta3	5	7	4	2	3	1
Gm7094	2	0	0	0	1	1
Gm4956	338	409	358	84	208	40
Khdc1a	134	198	153	2	19	9
Khdc1c	58	47	60	1	6	1
Gm33147	1	1	1	0	0	0
Khdc1b	62	69	54	1	3	0
Kcnq5	97	119	119	94	29	39
Gm53539	0	1	0	0	0	0
Rims1	0	0	0	0	0	0
Gm7759	0	0	0	0	0	0
Ppp1r14bl	0	0	0	0	0	0
Gm30442	0	0	0	0	0	0
Gm29506	0	0	0	0	0	0
Gm53541	18	20	15	5	9	10
Mir30a	0	0	0	0	0	0
Mir30c-2	0	0	0	0	0	0
Ogfrl1	4117	3563	4031	4981	3857	2862
Gm19673	0	0	3	1	1	1
Gm28822	0	0	0	0	0	0
B3gat2	1	0	6	6	3	4
Smap1	2440	2628	2367	3359	2403	1831
Gm53062	0	1	0	0	0	1
Sdhaf4	649	417	494	598	823	433
Fam135a	54	27	59	37	10	13
Col9a1	0	0	0	0	0	0
Col19a1	25	16	61	1	1	1
Gm26418	0	0	0	0	0	0
Lmbrd1	2681	1423	2286	2156	1401	1270
Gm29414	0	0	0	0	0	0
Adgrb3	0	0	0	0	0	0
Gm20172	0	0	0	0	0	0
Gm22260	0	0	0	0	0	0
Gm25294	0	0	0	0	0	0
Gm9884	0	0	0	0	0	0
Gm39614	0	0	0	0	0	0
Gm31076	0	0	0	0	0	0
Gm31136	0	1	0	0	0	0
Spata31e2	0	1	1	2	0	0
Gm5524	0	0	0	0	0	0
Spata31e5	0	0	0	0	0	0
Gm45942	0	0	0	0	0	0
Gm6462	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0
Gm31465	0	0	0	0	0	0
Gm31525	0	0	0	0	0	0
Gm39615	0	0	0	0	0	0
Gm31581	0	0	0	0	0	0
Gm46086	0	0	0	1	0	0
Gm9898	3	3	0	1	2	0
Gm57566	0	0	0	0	0	0
Phf3	3973	2910	3532	3521	1214	1913
Ptp4a1	2043	1257	1620	2548	951	1209
Gm53209	3	0	0	2	0	0
Gm29669	0	0	0	0	0	0
Gm28644	0	0	0	0	0	0
4931428L18Rik	2	2	0	4	1	2
Lgsn	0	0	0	0	0	0
Dnaaf6rt	0	0	0	0	0	0
Gm26145	0	0	0	0	0	0
Gm4850	0	0	0	0	0	0
Gm57572	0	0	0	1	0	1
Gm23032	0	0	0	0	0	0
Gm51754	0	0	0	0	0	0
Khdrbs2	0	1	0	0	0	0
Gm25814	0	0	0	0	0	0
Gm9839	0	0	0	0	0	0
Semp2l1	0	0	0	0	0	0
Gm24732	0	0	0	0	0	0
Gm39616	0	0	0	0	0	0
Gm24901	0	0	0	0	0	0
Gm39617	0	0	0	0	0	0
Gm25792	0	0	0	0	0	0
Gm23453	0	0	0	0	0	0
Prim2	2657	1109	1666	4077	2702	2313
1700001G17Rik	23	21	16	27	18	15
Gm32229	0	0	1	3	2	1
Rab23	165	130	149	385	202	174
Bag2	1364	664	784	2023	942	755
Zfp451	1157	680	865	1047	381	535
Gm15455	17	15	8	19	15	10
Bend6	62	29	79	18	13	1
Gm38471	0	4	1	1	0	0
Dst	458	200	521	61	23	59
Gm53546	0	0	1	0	0	0
Mir6896	0	0	0	0	0	0
Gm51742	0	0	0	0	0	0
Gm26788	0	1	0	1	1	0
Gm3052	11	21	24	10	4	22
Gm37233	69	34	66	41	14	25
Mir5103	0	0	0	0	0	0
n-TEttc1	0	0	0	0	0	0
Ccdc115	2804	1723	1976	4356	3598	2345
Imp4	3525	2699	2812	4754	3011	2212
Gm32504	0	1	1	2	2	1
Ptpn18	3384	2798	3005	3595	5124	3096
Gm28417	77	76	79	83	65	42
4930568A12Rik	12	9	7	12	17	11
Gm32566	24	17	24	17	8	8
Prss39	0	1	1	2	0	2
Cfc1	1	1	1	0	0	0
Prss40	0	0	0	0	0	0
Amer3	3	0	7	0	0	0
AA619741	0	0	0	0	0	0
Gm38647	0	0	0	0	0	0
Arhgef4	13	4	19	1	0	1
Gm32920	0	0	0	0	0	0
Gm32790	11	6	4	6	0	2
Smim39	0	0	0	0	0	0
Fam168b	7881	6158	7069	7761	3916	4036
Plekhb2	3048	2231	2983	2307	1234	1265
Gm53547	0	0	0	0	0	0
Gm25096	0	0	0	0	0	0
Gm25634	0	0	0	0	0	0
1110002O04Rik	1	0	0	0	0	0
Gm33176	1	0	0	0	1	2
Gm39622	0	0	0	0	0	0
Gm33222	0	0	0	0	0	0
Gm39623	0	0	0	0	0	0
Gm39624	0	2	0	0	1	0
Hs6st1	2196	1606	2479	2220	763	1043
Gm53548	0	0	0	0	0	0
Gm33280	198	53	146	370	103	119
Uggt1	6188	4697	6100	6659	2333	3418
Mir6897	1	0	0	0	0	0
Gm39625	0	0	0	0	0	0
Neurl3	4606	4359	5148	2594	4218	1934
Arid5a	1734	1902	2333	3006	1313	1378
Kansl3	1677	1494	1682	1802	706	906
Mir6898	0	0	0	0	0	0
Fer1l5	1	1	1	1	0	0
Lman2l	1581	1177	1513	1182	827	859
Gm33401	0	2	1	2	1	2
Gm33454	27	31	37	32	64	33
Cnnm4	802	679	866	728	234	461
Cnnm3	1050	1068	984	842	368	468
Ankrd23	77	126	88	93	45	76
Ankrd39	259	193	211	374	330	197
Sema4c	178	235	247	45	34	30
Fam178b	6	9	6	14	4	3
Cox5b	6359	4432	5268	8101	8703	6229
Actr1b	2085	2169	2047	2851	1415	1365
4933424G06Rik	2	0	0	1	2	0
Gm33533	4	0	6	0	0	1
Zap70	969	1950	998	1490	1303	896
Tmem131	5195	3371	5749	3270	798	2005
Vwa3b	11	5	6	16	11	8
Gm37020	0	0	0	0	0	0
Cnga3	17	13	18	4	7	0
Inpp4a	1425	1143	1545	1075	426	951
4930439A04Rik	1	0	1	0	0	1
Coa5	5657	3952	5415	7377	3293	3413
Unc50	2816	1216	1881	3385	2892	2141
Mgat4a	821	785	901	763	235	338
4930594C11Rik	2	3	3	3	1	3
Gm39627	0	1	1	0	0	0
Cracdl	39	76	41	15	26	11
4930556I23Rik	1	0	0	0	0	0
4930470B04Rik	0	0	0	0	0	0
Gm39628	0	0	0	0	0	0
Tsga10	282	124	216	182	87	113
Lipt1	133	114	100	211	114	80
Mitd1	1250	652	859	1760	1319	1288
Mrpl30	3083	2188	2391	3696	3164	2220
Lyg2	0	0	0	0	0	0
Lyg1	0	0	0	0	0	0
Txndc9	3890	2132	2955	4766	4476	3534
Eif5b	6458	9974	6956	7414	5314	4670
Gm34448	1	1	0	2	1	2
Rev1	1209	639	885	1813	773	888
Gm5099	0	0	0	0	0	0
Aff3	719	1027	773	316	126	147
Gm16150	14	1	5	7	12	19
Gm16152	0	0	0	0	0	0
Gm34596	0	0	0	0	0	0
Gm57569	0	0	0	0	0	0
Lonrf2	6	0	1	1	0	0
Chst10	135	115	102	196	147	87
Nms	0	0	0	0	0	0
Gm35171	0	0	0	0	0	0
Pdcl3	2195	1435	1639	2711	2845	1872
Gm35222	0	0	0	0	0	0
Mir6349	0	0	0	0	0	0
Npas2	10	21	11	1	1	0
Gm53549	0	1	0	0	0	1
Rpl31	15858	12637	12954	16677	18260	14006
Tbc1d8	2701	1649	2667	2020	971	1835
Gm24826	0	0	0	0	0	0
Gm53550	8	3	2	3	3	2
Cnot11	1576	1224	1324	2302	1421	1144
Snord89	16	16	24	18	10	8
Rnf149	4640	2942	4978	3886	2856	2439
Gm23722	0	0	0	0	0	0
Gm51620	0	0	0	0	0	0
Creg2	16	11	16	3	1	3
D930019O06Rik	1	0	1	0	0	0
Rfx8	2	0	0	0	2	1
Gm3646	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0
Gm35600	0	0	0	0	1	0
Map4k4	4857	3540	4514	4353	2027	2648
Gm16894	9	3	5	18	14	7
Il1r2	915	548	1050	4793	1130	1619
Gm35741	0	0	0	0	0	0
Il1r1	305	463	380	479	168	205
Il1rl2	268	165	207	625	200	195
Il1rl1	1680	921	1152	2584	1342	1404
Il18r1	2826	3381	2760	2280	993	1466
Il18rap	6479	6054	6372	5612	2595	2748
Gm35801	0	0	0	0	0	0
Slc9a4	4	2	2	4	1	1
Gm37435	0	0	0	0	0	0
Slc9a2	32	50	34	13	7	6
Gm37915	52	10	29	94	92	53
Mfsd9	137	94	151	150	96	69
Tmem182	0	0	0	2	1	0
4930448I06Rik	0	0	0	0	0	0
Gm53551	0	0	0	0	0	0
Gm39631	0	0	0	0	0	0
Gm35935	0	0	0	0	0	0
Gm29260	0	0	0	0	0	0
Gm28175	0	0	0	0	0	0
Gm46088	0	0	0	0	0	0
Gm36678	0	0	0	0	0	0
Gm37047	0	0	0	0	0	0
Gm46089	0	0	0	0	0	0
Gm36822	0	0	0	0	0	0
Pantr1	0	0	0	0	0	0
Gm20646	0	0	0	0	0	0
Pou3f3	0	0	0	0	0	0
2900092D14Rik	0	0	0	0	0	0
Pantr2	0	0	0	0	0	0
Dalir	0	0	0	0	0	0
Gm53552	0	1	0	0	0	0
Mrps9	2546	1661	1822	3844	3575	2118
Gm23126	0	0	0	0	0	0
Gm39633	0	0	0	0	0	0
Gpr45	0	3	3	2	2	1
Tgfbrap1	1358	1079	1500	1162	371	577
Gm28782	2	0	1	0	0	0
8430432A02Rik	8	4	3	2	2	1
AI597479	1098	569	801	1144	566	621
Fhl2	102	141	90	42	50	30
Gm29040	0	0	0	0	0	0
Gm57530	0	0	0	0	0	0
Nck2	727	789	719	789	594	424
Gm38628	0	0	0	0	0	0
Gm30634	0	0	0	0	0	0
Ecrg4	0	0	0	0	0	0
Uxs1	1953	1195	1621	2999	1787	1524
Tpp2	3486	2618	3231	3606	1236	1615
Mettl21c	0	1	0	1	0	0
Ccdc168	8	11	8	3	4	4
Tex30	2405	1311	1426	3075	2245	1930
Poglut2	858	662	687	1475	653	629
Bivm	600	386	452	748	292	309
Ercc5	534	527	503	549	285	248
Mettl21e	0	0	0	0	0	0
Gm28893	0	0	0	0	0	0
Gm39635	0	0	0	0	0	0
Gulp1	26	14	17	8	2	2
4930521E06Rik	0	0	0	0	0	0
Col3a1	13	3	10	10	0	12
Col5a2	1	1	0	0	0	2
Gm39637	0	0	0	1	0	0
Gm23216	0	0	0	0	0	0
Gm51621	0	0	0	0	0	0
Gm23974	0	0	0	0	0	0
Wdr75	2782	1762	1981	3980	1771	1518
Gm30900	1	0	0	1	1	0
Slc40a1	16999	10659	23726	6685	3548	3553
Stk-ps2	0	0	0	0	0	0
Dnah7b	0	3	0	0	0	0
Gm31046	0	0	0	0	0	0
n-R5s211	0	0	0	0	0	0
Dnah7c	0	1	1	0	0	0
Slc39a10	1103	833	1020	795	246	314
Gm39638	0	0	0	0	0	0
Gm39639	0	0	0	0	0	0
Mir6350	0	0	0	0	0	0
C230029F24Rik	0	0	0	0	0	0
Gm39640	0	0	0	0	0	0
Gm28321	0	0	0	0	0	0
Tmeff2	1	0	0	0	0	0
9330175M20Rik	0	0	0	0	0	0
Cavin2	296	146	183	112	64	42
Nabp1	4666	2145	3909	2982	2484	1976
Gm17767	9	2	11	14	3	9
Gm31636	0	0	0	0	0	0
Myo1b	59	39	73	91	37	36
Gm33795	0	0	0	0	0	0
Stat4	1764	2210	1734	977	747	587
Gm31812	9	6	8	10	19	2
Stat1	10817	7998	12154	18272	5716	10252
Gls	5795	3490	4498	6643	3382	3354
Gm31867	0	0	0	0	0	0
Gm31955	0	0	0	0	0	0
Gm23460	0	0	0	0	0	0
Nab1	4285	2766	3442	3797	1788	1998
Gm53065	4	2	3	1	0	3
Gm28178	0	0	0	0	1	0
Nemp2	760	556	696	874	608	538
Mfsd6	1425	1091	1579	1112	410	686
Inpp1	1192	920	948	1321	917	892
Hibch	2000	1104	1336	2636	1855	1421
1700019D03Rik	9	11	15	29	27	5
Mstn	0	0	0	0	0	0
1700019A02Rik	0	0	1	0	1	0
Pms1	656	317	414	879	412	402
Gm28777	1	0	0	2	3	1
Ormdl1	2737	1300	1838	2848	2708	1987
Osgepl1	455	223	354	774	487	458
Asnsd1	4533	2513	3361	6702	4766	3744
Asdurf	0	0	0	0	0	0
Gm53553	0	0	0	0	0	0
Dnah7a	0	0	0	4	5	1
Gm32311	0	1	0	0	0	0
Stk17b	9168	5448	9545	8658	6996	5330
Hecw2	27	6	27	4	4	1
Mir7681	1	2	0	1	4	1
Gm51622	0	0	0	0	0	0
Gm25829	0	0	0	0	0	0
Ccdc150	2	9	3	15	4	1
Gtf3c3	1279	636	965	1502	713	657
Gm34066	0	0	0	0	1	0
Pgap1	724	321	809	212	84	180
Gm51623	0	0	0	0	0	0
Ankrd44	5095	3345	5066	4043	2046	2396
4930444A19Rik	2	0	0	0	0	0
Sf3b1	15873	10092	13310	20931	10633	11349
Coq10b	927	484	845	1184	1238	870
Hspd1	15462	13835	12921	21954	11044	9805
Hspe1	8244	5382	5748	8616	9980	6561
Mob4	2790	1540	2041	3042	2827	2049
Rftn2	74	45	51	48	36	26
Gm10561	0	0	0	0	0	0
Mars2	634	417	471	966	445	436
Boll	11	12	5	4	4	3
Btf3-ps17	0	0	0	0	0	0
Plcl1	196	104	269	43	26	17
Gm6644	16	7	10	12	6	12
Gm39642	0	0	0	0	0	0
Gm32949	0	0	0	0	0	0
9130227L01Rik	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0
Gm53554	0	0	0	0	0	0
Hsfy2	0	0	0	0	0	0
Satb2	29	26	36	19	11	14
Gm51624	0	0	0	0	0	0
9130024F11Rik	0	1	2	0	0	1
Gm38484	0	0	0	0	0	0
1700126A01Rik	0	0	0	0	0	0
BC055402	0	0	0	0	0	0
4930558J18Rik	87	26	51	114	81	68
1700066M21Rik	750	313	477	999	428	517
Tyw5	352	182	255	467	429	300
Maip1	862	574	622	1159	1026	634
Gm22371	0	0	0	0	0	0
Gm53555	0	0	0	0	0	0
Gm57573	0	0	0	0	0	0
Spats2l	1	1	2	2	4	1
Gm57576	0	0	0	0	0	0
Kctd18	407	326	415	435	283	267
Sgo2a	845	500	610	1614	567	860
Aox1	8	2	4	2	0	0
Aox3	27	9	19	9	2	3
Gm39643	0	0	0	0	0	0
Aox4	13	7	31	31	17	10
Aox2	2	3	5	5	1	0
Gm15759	0	0	0	0	0	0
Gm53481	12	4	18	9	2	7
Bzw1	21505	10670	14988	25251	15972	14260
Clk1	4517	2379	3654	4890	4264	3451
Ppil3	2019	1203	1363	2232	1969	1367
Nif3l1	1180	843	867	1639	992	788
Orc2	4372	1821	2589	6430	2835	3049
Gm23966	5	10	6	9	10	7
Gm15834	12	18	12	16	8	6
Hycc2	1036	476	695	1150	562	507
Ndufb3	3302	1928	2513	3659	5009	3033
Gm20257	103	92	101	119	134	105
Flacc1	27	6	24	2	9	4
Cflar	2320	1812	2239	2103	1187	1503
Gm39646	0	0	0	0	0	0
Casp8	4267	2955	3593	4358	2656	2480
Gm28802	15	3	8	8	7	3
Trak2	3879	2060	3483	5097	1405	2720
Stradb	1018	640	906	1409	647	684
C2cd6	0	0	0	0	0	0
Gm29018	0	0	0	0	0	0
Gm25502	0	0	0	0	0	0
Tmem237	219	213	223	280	207	150
Mpp4	17	25	18	6	3	7
Als2	713	663	741	584	178	315
Gm33667	4	3	2	2	5	1
Cdk15	0	0	0	0	2	0
Gm51625	0	0	0	2	0	2
Gm33724	0	0	1	0	0	0
Gm33774	1	0	1	0	0	0
Gm53556	21	9	5	24	13	7
Fzd7	815	676	826	776	231	284
Gm973	24	45	28	19	4	11
Gm28411	0	0	0	0	0	0
Gm39648	0	0	0	2	0	0
Gm33833	0	0	0	0	0	0
Sumo1	6656	3699	5032	6961	6378	4643
Nop58	7114	5793	5241	10302	6525	5117
Snord70	3	2	1	3	0	2
Gm26293	0	0	0	0	0	0
Gm26287	3	0	0	0	1	5
Snord11	0	0	0	1	1	0
B430105G09Rik	2	6	3	6	7	1
Bmpr2	1451	768	1416	535	253	339
Fam117b	2632	1935	2643	2909	1650	1614
Ica1l	83	69	69	125	135	69
Wdr12	3347	2442	2308	5182	3199	2468
Carf	276	120	207	376	218	156
Nbeal1	566	288	544	376	145	203
Cyp20a1	1238	752	964	1308	782	636
Abi2	499	447	503	684	256	251
Raph1	503	346	489	272	96	231
Gm11578	0	0	0	0	0	0
Gm38388	0	0	0	1	0	0
Gm51626	0	0	0	0	0	0
Cd28	150	266	225	1087	672	530
2310016D23Rik	0	1	0	2	3	3
Gm38137	0	0	2	0	0	0
Gm39650	0	0	0	0	0	0
Ctla4	9	14	9	212	210	142
Gm34649	0	0	0	0	0	0
Icos	207	370	197	1206	671	551
Gm11587	0	0	0	0	0	0
9530026F06Rik	1	0	1	2	1	2
Pard3b	78	100	82	20	9	13
Pard3bos1	0	0	0	0	0	0
Pard3bos2	0	0	0	0	0	0
Gm34881	0	0	0	0	0	0
Nrp2	164	106	153	158	35	70
Gm29083	0	0	0	0	0	1
4930487H11Rik	0	0	0	0	0	0
Gm4208	0	0	1	1	1	2
Gm35120	0	0	0	0	0	0
Gm39652	0	0	0	0	0	0
Gm35252	0	0	0	0	1	0
Gm38513	0	0	0	0	0	0
Ino80d	1312	1042	1292	1003	463	835
Ino80dos	61	43	43	91	112	75
Ndufs1	5914	3258	4201	8897	5015	4447
Eef1b2	27668	21071	23056	31031	32638	24942
Gm26457	3	4	2	9	2	11
Snora41	7	2	4	11	10	13
Cmklr2	0	0	0	0	0	0
Zdbf2	0	0	0	0	0	0
1700039I01Rik	0	0	0	0	0	0
Gm11608	0	0	0	0	0	0
Gm23448	0	0	0	0	0	0
Gm35393	0	0	0	0	0	0
Adam23	296	303	553	4	21	10
Gm22281	0	0	0	0	0	0
Fam237a	0	0	0	0	0	0
Dytn	0	0	0	0	0	0
Mdh1b	0	0	0	2	0	0
Fastkd2	1581	750	967	2126	1094	926
4933402D24Rik	0	0	0	0	0	0
Gm13749	0	0	0	0	0	0
Klf7	860	716	975	945	890	758
Mir6899	0	0	0	0	0	0
Gm13748	16	17	19	47	10	19
Gm35880	0	0	0	0	0	0
Gm39654	2	2	3	2	4	2
Gm35803	0	0	0	0	0	0
Gm53557	1	0	0	0	0	0
Gm36148	0	0	0	0	0	0
Creb1	3921	2671	3259	3891	1887	2142
Mettl21a	566	361	535	574	444	311
Gm29152	0	0	0	0	0	0
2810408I11Rik	207	150	143	462	395	274
Ccnyl1	224	167	199	361	128	198
Fzd5	338	418	391	179	73	93
Plekhm3	1224	913	1564	410	155	259
Gm51628	0	0	0	0	0	0
Gm51627	3	2	2	1	0	0
Gm24788	0	0	0	0	0	0
Akr1cl	0	0	0	0	0	0
Cryge	0	0	0	0	0	0
Crygd	0	0	0	0	0	0
Crygc	0	0	0	0	0	0
Crygb	0	0	0	0	0	0
Cryga	0	0	0	1	3	1
D630023F18Rik	26	19	27	34	41	10
Gm36358	4	3	3	9	8	5
Idh1	7451	3273	5882	6599	5319	4545
Pikfyve	1492	804	1435	1400	792	833
Pth2r	0	0	0	1	0	2
Gm57567	0	0	0	0	0	0
Crygf	0	0	0	0	0	0
Map2	3	6	1	12	12	16
Gm51629	0	0	0	0	0	0
Gm24729	0	0	0	0	0	0
Unc80	0	1	1	1	0	0
Gm39655	0	0	0	0	0	0
Rpe	4041	1891	2886	5322	3389	3000
Kansl1l	608	464	486	482	204	225
Gm46093	3	6	15	14	12	11
Acadl	6598	4361	5080	10888	6863	5413
Gm15793	31	23	23	42	58	43
Gm27934	0	0	0	0	0	0
Gm25832	0	0	0	0	0	0
Myl1	0	1	0	0	0	0
Lancl1	1334	1067	995	1812	1408	886
Gm57531	19	36	30	13	5	14
Cps1	0	0	0	0	0	0
Gm26342	0	0	0	0	0	0
Gm39658	0	0	0	0	0	0
Gm15669	0	0	0	0	0	0
Erbb4	0	0	0	0	0	0
Gm53558	0	0	0	0	0	0
Gm51744	0	0	0	0	0	0
Gm28497	0	0	0	0	0	0
Ikzf2	417	611	382	414	714	382
Gm53559	2	0	0	0	1	1
Gm29822	0	0	0	0	0	0
Spag16	0	1	0	0	0	0
Gm23879	0	0	0	0	0	0
Gm23422	0	0	0	0	0	0
Gm57571	0	0	0	0	0	0
Vwc2l	0	0	0	0	0	0
Gm29906	0	0	0	0	0	0
Gm57799	0	0	0	0	0	0
Bard1	792	520	700	1381	739	807
Gm53560	0	0	0	0	0	0
Abca12	0	0	0	0	0	0
Gm39659	0	0	0	0	0	0
Atic	6421	5442	5406	10436	5770	4442
Fn1	31842	13636	27571	6383	3163	6606
Apol7d	2	3	2	4	2	5
Gm39660	2	1	0	1	0	1
Gm30160	29	9	16	28	21	13
Gm30308	0	0	0	0	0	0
Gm8883	0	0	1	0	0	0
Gm28818	1	0	0	4	0	1
4933417E11Rik	8	4	9	4	3	1
Gm5528	1	1	2	3	3	1
Gm4319	3	1	3	0	2	1
Mreg	204	141	231	147	247	134
Gm51630	0	0	0	0	0	0
Gm25360	3	5	3	0	13	3
Gm23472	0	0	0	0	0	0
D230017M19Rik	11	3	4	1	3	0
Gm24497	0	0	2	0	1	0
Gm25939	1	1	2	3	4	3
Pecr	384	307	303	492	394	176
Tmem169	1	0	0	0	0	0
Gm51631	0	0	0	0	0	0
Xrcc5	1227	1063	987	1874	959	748
Gm39661	0	0	0	0	0	0
Marchf4	0	0	0	0	0	0
Smarcal1	1358	1236	1316	1652	948	896
Gm39662	0	0	0	0	2	0
Ankar	1	0	0	1	0	0
Rpl37a	10430	9746	9586	10914	13775	8999
Gm51632	1	3	1	0	3	4
Gm39663	0	0	2	0	1	1
Gm30788	0	0	0	0	0	0
Gm30847	0	0	0	0	0	0
Igfbp2	2	0	0	0	0	1
Igfbp5	8	1	2	2	0	6
Gm31047	0	0	0	0	0	0
Gm31137	0	0	0	0	0	0
Tnp1	0	0	0	0	0	0
Teshl	0	0	0	0	0	0
Gm53561	0	0	0	0	0	0
Gm31254	0	0	0	0	0	0
Gm29185	0	0	0	0	0	0
Gm31344	0	0	0	0	0	0
Pinc	0	0	0	0	0	0
D530049I02Rik	0	0	0	0	0	0
C530043A13Rik	0	0	0	0	0	0
6030407O03Rik	0	0	0	0	0	0
Gm29183	0	0	0	0	0	0
Mir6351	0	0	0	0	0	0
Tns1	1240	1120	1548	1255	296	571
Gm39664	0	0	0	0	0	0
Gm31637	0	0	0	0	0	0
Rufy4	58	80	185	303	65	120
Cxcr2	2646	3040	5450	9340	1852	3823
Cxcr1	46	79	137	251	20	76
Mir1928	0	0	0	0	0	0
Gm31691	0	0	0	0	0	0
Gm25524	0	0	0	0	0	0
Arpc2	18232	16181	18612	22270	19052	14468
Gpbar1	0	0	0	0	0	0
